Callsign, Origin, Destination
BAW29G,KBOS,EGLL
RAM930G,GMMN,LSGG
ANE37RA,GMTT,LEMD
DAH1217,LFJL,DAAG
TAY052,OMDB,EBLG
DLH402,EDDF,KLDJ
DLH542,EDDF,SKBO
BAW281,EGLL,KHHR
TVF82JH,LFPO,GMME
RAM800F,GMMN,EGLL
AFL1404,UUEE,USSS
KZR875,UAAA,UUEE
EJM685,KTEB,LSZH
DAH2025,LIRF,DAAG
DLH740,EDDF,RJBB
AFR344,LFPG,CYHU
SVR2456,UCFM,UUBW
AFL1433,UNBB,UUEE
RAM938,GMMN,LIPZ
BAW279,EGLL,KSJC
AFR054,LFPG,KIAD
RAM950X,GMMN,LIMC
DLH446,EDDF,KDEN
ROU1917,LPPT,CYYZ
DLH760,EDDF,VIDP
MAC363,GMTT,LFPG
NRS7095,EGKK,KHHR
BAW107,EGLL,OMDB
ACA865,EGLL,CYHU
AAF750,DAAG,LFLL
AAF259,LFPO,DAAG
RZO221,LPPT,KBOS
BAW04A,EGLL,KJFK
AFL521,OMDB,UUEE
AFR81PD,GMME,LFPG
AVA047,LEMD,SKBO
DLH630,EDDF,OMDB
OMA115,WMKK,EDDF
DLH470,EDDF,CYYZ
DLH648,EDDF,UAAA
AFR032,LFPO,KJFK
DAH1020,DAAG,LFML
RAM770C,GMMN,LFPO
NRS7073,EGKK,KOAK
ACA857,EGLL,CYYZ
DAH1001,LFPG,DAAG
FDB1798,LROP,OMDB
CPA271,RPLL,EHAM
DLH692,EDDF,OJAM
ISS90M,LIMC,KJFK
AFR356,LFPG,CYYZ
AAF733,LFBO,DAAG
TRA6902,OMDB,LBBG
RJA178,UUDD,OJAM
AIC130,EGLL,VABB
BAW73,EGLL,OMAA
AZA770,LIRF,VIDP
NAX7097,LFPG,KLAX
BAW125,EGLL,OBBI
DAH1075,LFQQ,DAAG
ACA868,CYYZ,EGLL
TAP1442,LPPT,GMMN
NAX7041,EKCH,KFLL
CPA255,RCTP,EGLL
RAM732M,GMMN,LFML
RAM790T,GMMN,LFBO
HBJRX,UUWW,OMDB
RJA116,EKCH,OJAM
BAW263,EGLL,OETH
RAM980E,GMMN,LPPT
AZA610,LIRF,KJFK
BAW15K,EGLL,KJFK
RJA110,LEMD,OJAM
TAP201B,LPPT,KLDJ
AFR1654,LFPG,DAAG
AFR565,OLBA,LFPG
NAX4601,ESSA,OMDB
FDB4TA,LDZA,OMDB
DAH2055,EGLL,DAAG
FDB1783,OMDB,EFHK
BAW119,EGLL,VOBL
AHO485Q,OMDB,UUWW
AVA019,LEBL,SKBO
AFR119G,LFPG,GMMN
NAX7079,LFPG,KOAK
TRA750P,GMMN,EHAM
AHO284X,OMDW,UUWW
CND1112,GBYD,EHAM
AEA193,LEMD,SKBO
CRL978,LFPO,GOBD
SIA7973,EBBR,OMSJ
RJA102,LIRF,OJAM
BAW209,EGLL,KMIA
NAX7701,EHAM,KJFK
DTH3001,DAAG,LFPG
DLH4J,EDDM,CYHU
EVA061,RCTP,LOWW
BAW21PJ,EGKK,TXKF
SBI956,UGTB,UUDD
RJA118,LFPG,OJAM
BAW35,EGLL,VOMM
DAL79,EHAM,KLAX
ACA855,EGLL,CYVR
RAM970H,GMMN,LEMD
NJE290P,OBBI,LGAV
AEA091,LEMD,KJFK
AFL1414,UUEE,USSS
KAC117,RPLL,EINN
AFR334,LFPG,KBOS
BAW9CG,EGLL,KPHX
CMB0188,EBLG,OTBH
BAW49,EGLL,KSEA
DAH1190,DAAG,LFBD
BAW44N,EGLL,KSAN
DLH714,EDDM,RJTT
DLH412,EDDM,KLDJ
AFR718,LFPG,GOBD
TRA2595,EHRD,GMMW
AFR293,RJTT,LFPG
RAM804,GMME,EGLL
AEA097,LEMD,KMIA
AZA825,OLBA,LIRF
FBR763N,OMDW,UUWW
FDB1795,OMDB,LROP
DLH6Y,EDDM,KIAD
RAM750A,GMMN,LFPO
PBD1872,UGTB,ULLI
CSA3YA,LKPR,USSS
AFR010,LFPG,KJFK
TVS1201,OMDB,LKPR
BAW287,EGLL,KSFO
ACA849,EGLL,CYYZ
WOW10B,BIKF,KLDJ
IBE6253,LEMD,KJFK
TCX2848,EGCC,KJFK
MEA203,OLBA,EGLL
