Callsign, Origin, Destination,Day
DLH5RJ,LIML,EDDF,2020-12-01 
KLM28K,EKBI,EHAM,2020-12-01 
AFR61YW,LFBO,LFPO,2020-12-01 
LPA162A,ESMT,ESSB,2020-12-01 
AFR62DQ,LFMN,LFPO,2020-12-01 
NPT023J,EGNX,EGJJ,2020-12-01 
SPG541,LSGG,LFMD,2020-12-01 
FHRMN,LFST,LFCK,2020-12-01 
DICKE,EDJA,LHBP,2020-12-01 
SDM6027,ULLI,UUWW,2020-12-01 
AMC394,LMML,EHAM,2020-12-01 
GDK2,LOWW,EDDF,2020-12-01 
AFR62KV,LFPO,LFMN,2020-12-01 
AFR771H,LFMN,LFPG,2020-12-01 
RYR2373,EPGD,EGSS,2020-12-01 
AFL2306,UUEE,EDDF,2020-12-01 
KLM92T,EGCC,EHAM,2020-12-01 
EWG8KP,EDDL,LOWW,2020-12-01 
KLM36L,ELLX,EHAM,2020-12-01 
KLM64J,EGPH,EHAM,2020-12-01 
AFR75WN,LFBO,LFPG,2020-12-01 
KLM66G,EGNT,EHAM,2020-12-01 
TIE870Y,LKPR,UKKK,2020-12-01 
XK450DE,LFKF,LFKC,2020-12-01 
SWN4632,EDDE,EKBI,2020-12-01 
KLM1762,EDDF,EHAM,2020-12-01 
BCS2215,EGSS,EGAA,2020-12-01 
EWG18A,EDDL,LSZH,2020-12-01 
AFR762U,LFBD,LFPG,2020-12-01 
OMAAK,LZIB,LKPR,2020-12-01 
AFR76YJ,LFML,LFPG,2020-12-01 
NAX81E,EKYT,EKCH,2020-12-01 
TAY4089,LKPR,LKTB,2020-12-01 
AFR12JA,EGCC,LFPG,2020-12-01 
VLG53LK,LEBL,LEMH,2020-12-01 
KLM34V,EDDM,EHAM,2020-12-01 
KLM48Y,LSGG,EHAM,2020-12-01 
DLH7KX,EDDM,EDDF,2020-12-01 
AFR124K,LFPG,EHAM,2020-12-01 
TAY4012,EGNX,EGAA,2020-12-01 
PEA501,LFLB,LSGG,2020-12-01 
KLM80Z,EDDN,EHAM,2020-12-01 
AHO467K,LMML,LEVC,2020-12-01 
LAV5335,LIML,LIMF,2020-12-01 
STK7D,EGAC,EGCC,2020-12-01 
IBE3108,LEMD,LPPT,2020-12-01 
IBS3918,LEMD,LEPA,2020-12-01 
BCS7922,LIMC,LMML,2020-12-01 
GMA01B,EGPK,EGPF,2020-12-01 
AFR10SY,EGLL,LFPG,2020-12-01 
ANE8511,LEIB,LEPA,2020-12-01 
AFR772E,LFRS,LFPG,2020-12-01 
FIN631,EFHK,EFKE,2020-12-01 
AFR61AE,LFPO,LFBO,2020-12-01 
BAW771C,ESSA,EGLL,2020-12-01 
BTX5E,EDDS,EDVE,2020-12-01 
IBE31FW,LPPT,LEMD,2020-12-01 
ANE02MN,LEMD,LEJR,2020-12-01 
TAY4149,LIPZ,LJLJ,2020-12-01 
ANE8746,LEMD,LFML,2020-12-01 
LOT2FD,EPWA,EBBR,2020-12-01 
IBE34FR,LEMD,LFPO,2020-12-01 
NWS123,UUEE,UKFF,2020-12-01 
AFR60DE,LFML,LFPO,2020-12-01 
AFL1320,UUEE,ULMM,2020-12-01 
KLM50G,LSZH,EHAM,2020-12-01 
BAW561,LIML,EGLL,2020-12-01 
FHIMD,LFMK,LFBD,2020-12-01 
ABR1442,LIMC,EDDK,2020-12-01 
NPT4769,EFHK,EFTU,2020-12-01 
BCS9614,LIMC,LDZA,2020-12-01 
FYL51F,EBAW,EKSB,2020-12-01 
PIP397T,ENTO,ENNO,2020-12-01 
DLH3NE,EDDM,EDDW,2020-12-01 
RYR5MH,EIDW,EGKK,2020-12-01 
BTI8BC,EETN,ESSA,2020-12-01 
ANE36ZY,LEMD,LFBO,2020-12-01 
SLM3004,EBCI,EHAM,2020-12-01 
DLH8EL,EDDM,EDDL,2020-12-01 
DLH7EM,EGCC,EDDF,2020-12-01 
VLG33F,LEBL,LIMC,2020-12-01 
BCS5780,EYVI,EVRA,2020-12-01 
BTI414,EYVI,UKBB,2020-12-01 
AZA1637,LIML,LIBD,2020-12-01 
JSH502,EDDS,LHBP,2020-12-01 
DLH3YY,EDDM,LSZH,2020-12-01 
KLM1000,EGLL,EHAM,2020-12-01 
T7AVD,ULLI,UUWW,2020-12-01 
TAY4216,LEBL,LEVC,2020-12-01 
TAP1931,LPPR,LPPT,2020-12-01 
RYR6362,LEBL,LEPA,2020-12-01 
ECLBB,LEVC,LEZL,2020-12-01 
SIO624,LIML,LIRA,2020-12-01 
STK7MM,EGAC,EGBB,2020-12-01 
SAS4137,ENBR,ENZV,2020-12-01 
ANE88YX,LEMD,LEVC,2020-12-01 
KLM37P,EHAM,LFPG,2020-12-01 
GWI9UW,EDDB,EDDL,2020-12-01 
AEA6012,LEPA,LEMD,2020-12-01 
SAS46M,EKCH,ESSA,2020-12-01 
ABF3C,ESOE,EFHK,2020-12-01 
SAS601,EKCH,LSZH,2020-12-01 
AUR50H,EGJB,EGHI,2020-12-01 
AEA52ZU,LEPA,LEVC,2020-12-01 
TAP1900,LPFR,LPPT,2020-12-01 
OES264B,UUWW,LOWW,2020-12-01 
HMF007,ESMK,ESGG,2020-12-01 
STK8DR,EGAC,EGPH,2020-12-01 
BCS7424,LIMC,LIPY,2020-12-01 
VND500,LIML,LEVC,2020-12-01 
PIP676M,ENNO,ENTO,2020-12-01 
AEA16LK,LEPA,LEIB,2020-12-01 
AFL1620,UUEE,UKFF,2020-12-01 
XK150JG,LFKJ,LFML,2020-12-01 
IBE31BY,LEMD,EGLL,2020-12-01 
SAS64H,EKCH,ENGM,2020-12-01 
WUK6001,EGGW,UKKK,2020-12-01 
BCS881P,EDDF,LFRN,2020-12-01 
SAS56T,ENGM,EKCH,2020-12-01 
BCS12P,EPGD,EETN,2020-12-01 
FIN1GL,EFOU,EFHK,2020-12-01 
SAS71L,ESSA,ESGG,2020-12-01 
NJE393M,LIPE,LIRA,2020-12-01 
DCAWR,LOWW,EDDV,2020-12-01 
IOCRM,LIPO,LIPR,2020-12-01 
SAS181,ESSA,ESTA,2020-12-01 
UTA459,UUWW,URKA,2020-12-01 
BCS820,LIMC,LMML,2020-12-01 
SAS105,ESSA,ESMS,2020-12-01 
GCL893P,EDDK,LIMC,2020-12-01 
OOMMT,EHAM,LSZH,2020-12-01 
SAS205,ENGM,ENCN,2020-12-01 
BAW981,EDDB,EGLL,2020-12-01 
KZN9457,UWKD,UUWW,2020-12-01 
ANE06VW,LEMD,EDDF,2020-12-01 
DLH08W,EDDF,LFPG,2020-12-01 
N227CL,EHRD,EHGG,2020-12-01 
BRU844,UKBB,UMMS,2020-12-01 
SAS91A,ESSA,EKCH,2020-12-01 
ZEROG,EDLP,LFOB,2020-12-01 
SAS85G,ENGM,ENZV,2020-12-01 
KTB310,EYVI,UMMS,2020-12-01 
OAL1GS,LGKO,LGAV,2020-12-01 
BCS6891,EGNX,EDDP,2020-12-01 
NAK083,LFBO,LFRB,2020-12-01 
GWI3XM,EDDH,EDDL,2020-12-01 
SAS308,ENGM,ENHD,2020-12-01 
TAY4019,EPWA,EYKA,2020-12-01 
DLH5XV,EDDF,ESGG,2020-12-01 
SOW3,LOWW,LOWS,2020-12-01 
GWI4YG,EDDH,EDDS,2020-12-01 
AFR75QQ,LFPG,LFBP,2020-12-01 
SVR526,UKFF,UUDD,2020-12-01 
NAX82F,EKCH,EKYT,2020-12-01 
DFGAG,EDDH,EDDP,2020-12-01 
STK1K,EIKY,EIDW,2020-12-01 
NJE288Y,EDDK,EDXW,2020-12-01 
DTR154,EKCH,EKYT,2020-12-01 
SBI1006,ULLI,UUDD,2020-12-01 
BRU867,UMMS,EHAM,2020-12-01 
MDI09,EGNS,EGGP,2020-12-01 
DLH1CK,EDDF,EGLL,2020-12-01 
SBI1052,UWKD,UUDD,2020-12-01 
AFR77LQ,LFPG,LFRB,2020-12-01 
SHT7S,EGPF,EGLL,2020-12-01 
ANE10NU,LEPA,LEIB,2020-12-01 
DLH2KK,EDDM,EDDH,2020-12-01 
CTN5NL,LDZA,EHAM,2020-12-01 
SAS26K,ENGM,ENBO,2020-12-01 
FIN7KF,ESSA,EFHK,2020-12-01 
AFR164G,LFPG,LSGG,2020-12-01 
DLH1934,EDDM,EDDB,2020-12-01 
