Callsign, Origin, Destination
PAL720,RPLL,EGLL
AFR1554,LFPG,DAAG
ETH760,FAOR,UUDD
BAW256,VIDP,EGLL
DAH1002,DAAG,LFPG
AFL520,UUEE,OMDB
ETH502,EIDW,CYYZ
TVS4162,LKPR,GOBD
KZR872,UUEE,UAAA
FDB5WH,OMDB,LBSF
AFL012,UUEE,ULLP
DLH717,RJTT,EDDF
FDB918,UUWW,OMDB
VLG7397,DAAG,LEAL
DAH1025,LFML,DAAG
DAH1009,LFPO,DAAG
PBD434,UGTB,UUWW
BOX531,VOBL,EDDP
CKS248,VIDP,EDDP
N510CX,CYYT,EDDB
SF3000,DAAG,LFPG
SBI045,UUDD,ULLP
VLG7477,DAAG,LEBL
TFL459,EHAM,GBYD
WWI70,KTEB,EGGW
SVR79,UUDD,ULLP
SAZ71,LSZH,OMRK
CKS203,KJFK,EHAM
SDM6324,UMKK,ULLP
AAF707,LFML,DAAG
AFL1162,UUEE,URRH
CSN463,KLAX,EDDF
FDB4PA,OMDB,LDZA
ALK503,VCBI,EGLL
AFL014,UUEE,ULLP
AFL100,UUEE,KJFK
AAR501,KLAX,LFPG
BAW108,OMDB,EGLL
CPA253,VHHH,EGLL
FDB6PS,LKPR,OMDB
AAF255,LFPO,DAAG
THA936,VIDP,LOWW
FDB1797,OMDB,LROP
HVN19,RJTT,LFPG
BAW198,VABB,EGLL
N970BC,BIRK,KPMP
CSN645,VIDP,LIRF
SDM6370,URRP,ULLP
AZA800,LIRF,DAAG
SIA26,EDDF,KJFK
AAF035,LFPO,SBKP
IBE6849,LEMD,SAEZ
GTI8710,KIAH,EDFH
SVR2463,UUBW,UAAA
DAH1022,DAAG,LFML
SDM6018,UUWW,ULLP
SDM6183,UUEE,URRH
VJT552,OERK,LIML
AFL016,UUEE,ULLP
JAI118,VABB,EGLL
TAM8179,LPPT,SBGR
FPO951,LFPG,DAAG
AFR566,LFPG,OLBA
DAL47,EHAM,KJFK
DAL223,LEBL,KJFK
ACA879,LSZH,CYYZ
AIC121,VIDP,EDDF
DAH1231,LFPG,DAAG
AZA62N,LIRF,KLAX
TVS1200,LKPR,OMDB
DAH1036,DAAG,LFLL
CSC609,KLAX,UUEE
ABW502,KORD,EBLG
DAH1010,DAAG,LFPO
TGZ926,UGTB,UUWW
BAW117,EGLL,KJFK
SAS955,ENGM,KMIA
AFL526,UUEE,OMDB
DAL107,EDDF,KJFK
AZG785,ELLX,KORD
DLH1316,EDDF,DAAG
DAL143,EHAM,KSEA
SDM6028,UUWW,ULLP
BOX513,OMDB,EDDP
ACA873,EDDF,CYYZ
JME321D,LIRA,OERK
SAS939,ESSA,KLAX
SDM4101,UUEE,ULLP
DLH438,EDDF,KDFW
DAL173,LIMC,KJFK
DAL179,EHAM,KPDX
ABW475,OMSJ,LEZG
VKG838,ESGG,GBYD
SBI039,UUDD,ULLP
QAF5,LFPO,OTBD
ACA875,EDDF,CYHU
BAW207,EGLL,KMIA
MEA252,LGAV,OLBA
AFR659,OMDB,LFPG
AFR1464,LFPG,ULLP
DLH454,EDDF,KSFO
BCS932,LEZL,GMTT
N280LS,EGGW,CYOW
CES553,RJTK,LFPG
SDM5733,UUWW,OMDB
SIA323,EHAM,WSAP
DLH440,EDDF,KIAH
AFR456,LFPG,SBGR
TAM8111,LIRF,SBGR
DAL87,EDDF,KDTW
AFR636,LFPG,KIAH
ACA869,EGLL,CYYZ
SHE45X,WBSB,EHRD
DAL405,LFPG,KBOS
AFL042,UUEE,ULLP
DAL59,EGLL,KBOS
DAH2070,DAAG,EDDF
DAL259,EHAM,KBOS
AZA678,LIRF,SBGR
DAH2026,DAAG,LIMC
DLH492,EDDF,CYVR
MEA210,LFPG,OLBA
CCA937,KLAX,EGLL
DAL43,LFPG,KMSP
AFR090,LFPG,KMIA
BOX591,VHHH,EDDP
AZA60U,LIRF,KJFK
DLH758,EDDF,VOMM
AZA63KD,LIRF,KMIA
TAP1487,LPPT,GOBD
DAL127,LEMD,KJFK
AFR218,LFPG,VABB
DLH490,EDDF,KSEA
AFR066,LFPG,KHHR
AAF260,DAAG,LFPO
CAL076,LIRF,RCTP
AFR226,LFPG,VIDP
DLH456,EDDF,KHHR
DAL49,EHAM,KJFK
CAL062,EDDF,RCTP
AFR194,LFPG,VOBL
BAW878,EGLL,ULLP
DAL135,EHAM,KDTW
SIA305,EGLL,WSAP
AFL106,UUEE,KLAX
BAW26E,EGLL,KIAH
SAS909,EKCH,KLDJ
DAH1216,DAAG,LFJL
JAL42,EGLL,RJTK
JAI129,EGCC,VABB
DLH430,EDDF,KORD
DLH400,EDDF,KJFK
SZN403,GOBD,LFPG
DAL263,LFPG,KJFK
PBD1203,UUWW,ULLP
JAF2691,EBAW,GMTT
BEL1CP,EBBR,KJFK
TWY127,EGPF,KOKC
IBB6604,GCXO,GOBD
ACA893,LIRF,CYUL
AFR1555,DAAG,LFPG
ANE20XW,LEMD,DAAG
TAP059,LPPT,SBBR
DAL97,LFPG,KDTW
SDM6604,LOWW,ULLP
DAL17,EGLL,KDTW
DAL35,LFPG,KSEA
DAH2054,DAAG,EGLL
SAS907,ENGM,KLDJ
ACA843,EIDW,CYYZ
AFL018,UUEE,ULLP
DAL161,EHAM,KMSP
JAI235,EHAM,VOBL
SAS945,ESSA,KORD
SIA335,LFPG,WIDD
SDM6642,EDDB,ULLP
EJM685,EGGW,KTEB
NRS17F,EGKK,KJFK
DAH2004,DAAG,LEAL
SIA365,LIRF,WSAP
BAW175,EGLL,KJFK
BAW5EA,EGLL,KSEA
TAM8115,LEBL,SBGR
CAL5638,ELLX,OMDW
DAH1000,DAAG,LFPG
AFR462,LFPG,SBGL
CAL074,EHAM,RCTP
SIA345,LSZH,WSAP
TRA5702,GMTT,EHRD
JAI119,EGLL,VABB
SIA52,EGCC,KIAH
DLH3V,EDDF,KDTW
KTK774,OMDB,UUWW
SIA337,EDDL,WSAP
GIA089,EHAM,WIII
BEL203,EBBR,GOBD
DLH422,EDDF,KBOS
NRS7181,EGKK,KAUS
DAH1023,LFML,DAAG
SIA7395,EGLL,OMSJ
DLH766,EDDM,VABB
JAI231,EHAM,VABB
AFL1891,UGTB,UUEE
ANA204,EDDF,RJTK
DAH1003,LFPG,DAAG
CCA863,RJTT,LGAV
AZA801,DAAG,LIRF
AWC791,EGKK,GBYD
IBE6275,LEMD,KORD
DLH2564,EDDM,ULLP
NRS43A,EGKK,KFLL
BAW104,OMDB,EGLL
JAI123,LFPG,VABB
JAI233,EHAM,VIDP
AFR084,LFPG,KSFO
RWZ9649,UUDD,OMRK
ANE8374,LEMD,GMTT
AAF256,DAAG,LFPO
CPA382,LSZH,VHHH
EVA088,LFPG,RCTP
SIA25,EDDF,WSAP
MPH8342,FAOR,EHAM
AFR178,LFPG,MMMX
DAL2,EGLL,KJFK
TVF87KU,OLBA,LFPO
MAS3,EGLL,WMKK
AFR1854,LFPG,DAAG
BTI448,EVRA,ULLP
N652BA,LIRA,KTEB
AFR6722,LFPG,MMMX
DTH3001,LFPG,DAAG
SAS732,ESSA,ULLP
VJT822,OERK,EGGW
DLH480,EDDM,KDEN
LOT33,LHBP,KJFK
ANA206,LOWW,RJTK
BAW139,EGLL,VABB
DAL231,LFPG,KRDU
DAL45,EIDW,KJFK
OAE557,EINN,KGRK
DLH452,EDDM,KHHR
ARG1135,LEMD,SAEZ
ACA847,EDDM,CYYZ
MEA214,LSGG,OLBA
JAS123,EDDB,KTEB
BAW11M,EGLL,KSFO
IBE6123,LEMD,KMIA
SDM6622,LKPR,ULLP
AFL1881,UCFM,UUEE
N651BA,LIRA,KBED
MEA218,EDDF,OLBA
SOO097,KLAX,EDDP
SIA387,LEBL,WSAP
BAW185,EGLL,KLDJ
IBE6453,LEMD,SEHI
DAH1004,DAAG,LFPO
SIA317,EGLL,WSAP
MEA236,LIMC,OLBA
DAH2046,DAAG,LSGG
SIA327,EDDM,WSAP
DAL477,LEBL,KJFK
IBE6845,LEMD,SAEZ
SVR2456,UCFM,UUBW
ACA835,LSGG,CYUL
JAI234,EHAM,CYYZ
DLH410,EDDM,KJFK
CPA292,LIRF,VHHH
ACA881,LFPG,CYYZ
TSC123,EGKK,CYYZ
EWG1112,EDDL,KLDJ
TSC111,LFPG,CYUL
SVR2466,UGTB,UUBW
LPE2484,SAEZ,LEMD
ACA861,EGLL,CYHZ
WJA4,EGKK,CYYZ
SDM6658,EDDM,ULLP
DLH460,EDDM,KMIA
BAW7,EGLL,RJTK
CPA234,LIMC,VHHH
DAH1037,LFLL,DAAG
ABY956,UUDD,OMSJ
BAW13G,EGLL,KBOS
EDW98,LSZH,SJTQ
FPO952,DAAG,LFPG
NJE918Q,RJTT,ENGM
SIA351,EKCH,WSAP
CPA354,EGKK,VHHH
QFA9,YPPH,EGLL
CPA318,LEBL,VHHH
CPA252,EGLL,VHHH
DLH636,EDDF,OERK
JAF2661,EBBR,GMTT
ACA895,LIMC,CYYZ
DLH762,EDDM,VIDP
SDM6636,LFPG,ULLP
SAS903,ESSA,KLDJ
CPA216,EGCC,VHHH
